Date,Open,High,Low,Close,Volume,Adj. Close
2017-07-15,2259.0,2266.0,1978.0,2023.26,21699.9444421,2023.26
2017-07-16,2023.26,2105.0,1830.0,1908.61,24307.8905493,1908.61
2017-07-17,1901.52,2099.0,1850.93,2046.03,21753.2818914,2046.03
2017-07-18,2046.01,2374.78,2046.01,2351.69,29439.4916609,2351.69
2017-07-19,2351.69,2402.5,2232.5,2315.9,18339.2976192,2315.9
2017-07-20,2315.9,2665.99,2223.0,2619.17,23161.4337925,2619.17
2017-07-21,2619.17,2938.0,2560.0,2717.97,29232.4256753,2717.97
2017-07-22,2715.27,2882.0,2611.39,2787.9,15183.120492,2787.9
2017-07-23,2787.81,2855.0,2640.0,2779.7,12048.2089249,2779.7
2017-07-24,2776.43,2800.0,2701.0,2762.99,8816.09999651,2762.99
2017-07-25,2762.0,2778.0,2511.0,2580.21,17327.3067786,2580.21
2017-07-26,2580.21,2608.96,2400.0,2436.7,20641.0216052,2436.7
2017-07-27,2436.93,2600.0,2407.0,2541.06,12203.0663648,2541.06
2017-07-28,2541.06,2825.0,2526.11,2742.9,14076.4636669,2742.9
2017-07-29,2742.89,2800.0,2657.39,2707.06,10809.5626419,2707.06
2017-07-30,2707.02,2746.79,2569.69,2720.25,11457.6577732,2720.25
2017-07-31,2720.24,2792.23,2680.01,2761.41,8903.32190546,2761.41
2017-08-01,2763.23,2929.17,2615.0,2676.0,12566.8290008,2676.0
2017-08-02,2676.0,2779.53,2652.92,2698.05,10811.8196737,2698.05
2017-08-03,2698.08,2770.0,2650.0,2768.0,7362.8946661,2768.0
2017-08-04,2768.0,2875.8,2737.87,2868.15,8456.62527199,2868.15
2017-08-05,2868.16,3230.0,2825.0,3192.37,13878.9607088,3192.37
2017-08-06,3204.5,3339.66,3146.1,3241.5,10013.291762,3241.5
2017-08-07,3241.02,3430.0,3186.0,3380.0,9526.76871015,3380.0
2017-08-08,3387.32,3490.0,3325.0,3380.0,16095.5403919,3380.0
2017-08-09,3383.43,3463.31,3178.72,3285.05,13921.3108479,3285.05
2017-08-10,3284.0,3447.0,3269.9,3441.0,11189.8623498,3441.0
2017-08-11,3446.65,3550.0,3385.0,3535.09,10722.8493686,3535.09
2017-08-12,3543.0,3866.0,3511.0,3845.97,10215.8257916,3845.97
2017-08-13,3845.97,4190.0,3725.37,4033.0,18990.8228131,4033.0
2017-08-14,4023.72,4299.0,3935.0,4242.67,11478.9505645,4242.67
2017-08-15,4246.06,4400.0,3800.0,3985.34,24204.1116999,3985.34
2017-08-16,3985.34,4321.69,3926.06,4308.63,14577.8655947,4308.63
2017-08-17,4308.63,4480.0,4208.88,4350.0,12999.3369644,4350.0
2017-08-18,4349.99,4368.0,4167.21,4224.0,14926.5611012,4224.0
2017-08-19,4224.0,4269.3,3900.0,3946.0,20840.3104386,3946.0
2017-08-20,3948.0,4130.0,3925.7,4040.11,7562.97916964,4040.11
2017-08-21,4040.11,4125.95,3949.78,4004.99,8469.45520618,4004.99
2017-08-22,4004.99,4042.05,3600.0,3905.24,20100.1098168,3905.24
2017-08-23,3905.02,4248.97,3905.0,4209.97,15466.4489967,4209.97
2017-08-24,4209.95,4246.41,4062.26,4230.84,12991.1643256,4230.84
2017-08-25,4220.25,4445.09,4185.67,4419.98,9795.03924531,4419.98
2017-08-26,4421.95,4449.98,4232.43,4299.96,9153.05559826,4299.96
2017-08-27,4295.11,4393.3,4269.28,4337.19,4561.23715717,4337.19
2017-08-28,4352.13,4365.96,4169.01,4293.33,6710.15776843,4293.33
2017-08-29,4293.33,4649.78,4287.28,4576.26,11405.2675497,4576.26
2017-08-30,4576.26,4642.22,4479.0,4561.0,10231.4151386,4561.0
2017-08-31,4567.21,4739.78,4532.58,4718.46,7734.854547,4718.46
2017-09-01,4719.0,4870.0,4671.09,4836.86,12841.4088517,4836.86
2017-09-02,4836.85,4979.9,4488.5,4591.55,18216.0066283,4591.55
2017-09-03,4591.55,4700.0,4385.0,4450.6,11902.4467839,4450.6
2017-09-04,4463.2,4624.72,4200.0,4247.55,19093.8114347,4247.55
2017-09-05,4247.54,4410.97,4001.93,4246.85,24840.0514088,4246.85
2017-09-06,4258.97,4628.39,4215.12,4615.09,18493.4016702,4615.09
2017-09-07,4617.0,4674.34,4475.0,4641.06,10065.7011988,4641.06
2017-09-08,4647.85,4679.97,4227.64,4389.49,16467.3677461,4389.49
